segment,ab_group,resource_category,resource,unit,players,gainers,spenders,gain_total,spend_total,gain_per_gainer,spend_per_spender,gain_p50,gain_p75,gain_p90,gain_p99,spend_p50,spend_p75,spend_p90,spend_p99,net_p10,net_p50,net_p90,gain_top1_share,gain_top5_share,gain_top10_share,spend_top1_share,spend_top5_share,spend_top10_share,spend_events_per_spender
B. 1-9,Control,Avatar,Avatar,items,34214,6899,0,7697.0,0,1.1157,,0.0,0.0011961940167551633,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,0.31,0.51,,,,
B. 1-9,Control,currency,HardCoin,coins,34214,23832,12367,3350519.0,2989450,140.5891,241,38.999823586354545,115.71628605867858,286.9694230838045,718.1501459878898,0.0,100.0,300.0,703.1644444444445,-80.45206964614557,0.4831434085883938,96.58159970904074,0.12,0.49,0.79,0.13,0.54,0.93,2.4778
B. 1-9,Control,dream_pass_tokens,DreamPassToken,items,34214,6742,0,367021.33,0,54.4381,,0.0,0.0,40.0,111.98554723155092,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.17,0.69,1.17,,,,
B. 1-9,Control,life,LifeReward,items,34214,0,1,0.0,14,,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,14.0
B. 1-9,Control,life,life,items,34214,1902,27725,12930.0,349405,6.7981,12,0.0,0.0,0.0,10.233953360768194,3.936815373602775,8.952805229236038,23.65696334036503,111.98814358974367,-23.175244237289924,-3.9805568378056453,0.0,1.06,3.97,6.6,0.16,0.6,1.04,12.6025
B. 1-9,Control,life,liferefill,items,34214,1113,0,12040.0,0,10.8176,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,4.24,6.89,,,,
B. 1-9,Control,orb,Movie_Magic,items,34214,6,0,6.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,83.33,100.0,,,,
B. 1-9,Control,orb,Ocean_rescue,items,34214,1,0,1.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,,
B. 1-9,Control,orb,Reds_Greatest_Challenge,items,34214,119,0,119.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,4.2,8.4,,,,
B. 1-9,Control,powerup,powerup_1,items,34214,8090,7185,14130.0,13555,1.7466,1,0.0,0.15975725068610938,1.4750304102028264,4.0,0.0,0.021001242236024814,1.2776757777378238,4.0,-0.1717924248667952,0.0,1.0,0.08,0.35,0.63,0.52,1.48,1.94,1.8866
B. 1-9,Control,powerup,powerup_2,items,34214,12680,9869,33535.0,31202,2.6447,3,0.0,1.02289361439813,3.255916897720272,8.601804878048792,0.0,1.0,3.227341162300514,9.0,-1.0,0.0,1.0,0.12,0.32,0.55,0.28,0.75,1.09,3.1616
B. 1-9,Control,powerup,powerup_3,items,34214,11404,9863,28119.0,26590,2.4657,2,0.0,1.0,3.0,7.1543075615972835,0.0,1.0,3.0,7.942473751600516,-1.0,0.0,1.0,0.08,0.31,0.55,0.18,0.55,0.88,2.6959
B. 1-9,Control,pre_level_booster,pre_level_booster_1,items,34214,16325,13225,38809.0,34133,2.3773,2,0.09589886271643369,1.691186607582471,3.347980724278061,7.840937373737383,0.0,1.0,3.077600236625581,8.679958974358986,-1.0,0.0,2.0,0.06,0.22,0.4,0.13,0.52,0.88,2.5809
B. 1-9,Control,pre_level_booster,pre_level_booster_2,items,34214,18237,11670,48383.0,34688,2.653,2,1.0,2.0,4.0,8.211666025394388,0.0,1.0,3.574294817002101,9.0,-1.0,0.0,2.1927166136724967,0.06,0.18,0.33,0.14,0.53,0.89,2.9724
B. 1-9,Control,pre_level_booster,pre_level_booster_3,items,34214,11929,9340,21009.0,18262,1.7612,1,0.0,1.0,2.0,4.416858071505968,0.0,1.0,2.0,5.0,-1.0,0.0,1.0,0.17,0.43,0.63,0.27,0.62,1.0,1.9552
B. 1-9,Control,pre_level_booster,unknown,items,34214,0,1,0.0,60,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,60.0
B. 1-9,Control,season_pass_multiplier_2x,SeasonPassMultiplier2x,minutes,34214,178,0,3470.0,0,19.4944,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37,42.8,47.12,,,,
B. 1-9,Control,season_pass_tokens,SeasonPassToken,items,34214,488,0,10239.0,0,20.9816,,0.0,0.0,0.0,10.227311064840631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,5.92,10.72,,,,
B. 1-9,Control,season_pass_tokens,unknown,items,34214,1,0,12.0,0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,,
B. 1-9,Control,ul_pre_booster,UnlimitedBooster1,minutes,34214,7658,7177,158055.0,43518,20.6392,6,0.0,0.04718364876590678,12.745284511428945,70.0,0.0,0.01673316581239291,5.008005357510818,16.781141880341895,0.0,0.0,9.920674126637559,0.25,1.07,1.52,0.21,0.84,1.46,6.0635
B. 1-9,Control,ul_pre_booster,UnlimitedBooster2,minutes,34214,4823,4540,111735.0,28509,23.1671,6,0.0,0.0,11.58856088560887,61.27225950783002,0.0,0.0,2.522060372287862,14.522133333333349,0.0,0.0,7.494038545186878,0.34,1.46,2.08,0.21,0.96,1.75,6.2795
B. 1-9,Control,ul_pre_booster,UnlimitedBooster3,minutes,34214,1052,1003,31035.0,9545,29.501,9,0.0,0.0,0.0,30.0,0.0,0.0,0.0,11.651637606837621,0.0,0.0,0.0,1.22,5.09,6.48,0.46,2.2,3.97,9.5165
B. 1-9,Control,unknown,Booster1,items,34214,0,1,0.0,2,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,2.0
B. 1-9,Control,unknown,Booster2,items,34214,0,1,0.0,2,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,2.0
B. 1-9,Control,unknown,Booster3,items,34214,0,1,0.0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,1.0
B. 1-9,Control,unlimited_lives,UnlimitedLives,minutes,34214,21692,10,3470406.0,76,159.9855,7,29.397442796303764,135.52024954047,305.6581847338513,730.0776232276789,0.0,0.0,0.0,0.0,0.0,29.314490844540174,305.6467530080912,0.05,0.18,0.34,31.58,89.47,100.0,7.6
B. 1-9,Variant,Avatar,Avatar,items,34548,6929,0,7776.0,0,1.1222,,0.0,0.0004157806289993262,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15,0.41,0.6,,,,
B. 1-9,Variant,currency,HardCoin,coins,34548,24108,11659,2791499.19,2587950,115.7914,221,28.64617542701968,91.20319691717444,234.31708387620313,645.3224225612565,0.0,100.0,221.60171427515854,674.6926495726455,-82.19821282408661,2.7198640152877225,81.58681856103698,0.31,0.74,1.12,0.2,0.82,1.24,2.2589
B. 1-9,Variant,dream_pass_tokens,DreamPassToken,items,34548,9606,0,713881.01,0,74.3162,,0.0,15.988750221350063,79.39386670701248,210.77600732600663,0.0,0.0,0.0,0.0,0.0,0.0,79.39386670701248,0.09,0.42,0.76,,,,
B. 1-9,Variant,life,LifeReward,items,34548,0,3,0.0,14,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,50.0,100.0,100.0,4.6667
B. 1-9,Variant,life,life,items,34548,1511,27584,9281.0,277195,6.1423,10,0.0,0.0,0.0,7.149392156862685,3.255850534052272,8.081876332622603,17.078834852535685,86.25560911680876,-16.763278624898682,-3.046524445387469,0.0,1.09,3.9,6.79,0.28,0.8,1.33,10.0491
B. 1-9,Variant,life,liferefill,items,34548,903,0,8590.0,0,9.5127,,0.0,0.0,0.0,5.576136363636226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,4.02,6.93,,,,
B. 1-9,Variant,orb,Movie_Magic,items,34548,4,0,4.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,100.0,,,,
B. 1-9,Variant,orb,Reds_Greatest_Challenge,items,34548,66,0,66.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,7.58,15.15,,,,
B. 1-9,Variant,powerup,powerup_1,items,34548,6861,6410,11579.0,11814,1.6877,1,0.0,0.0,1.0159867774861142,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.35539927883094824,0.1,0.46,0.85,0.52,1.04,1.49,1.8431
B. 1-9,Variant,powerup,powerup_2,items,34548,12741,9790,41543.0,35387,3.2606,3,0.0,1.1518148870750664,4.125896785767258,11.0,0.0,1.0,3.7957450644212054,10.884078624078596,-1.0,0.0,1.641901404776124,0.06,0.24,0.46,0.12,0.46,0.78,3.6146
B. 1-9,Variant,powerup,powerup_3,items,34548,10163,9469,24458.0,24175,2.4066,2,0.0,1.0,2.3392319438230675,7.0,0.0,1.0,2.37097429295928,7.146829629629604,-1.0,0.0,1.0,0.09,0.38,0.67,0.16,0.7,1.13,2.5531
B. 1-9,Variant,pre_level_booster,pre_level_booster_1,items,34548,16857,13436,55801.0,40021,3.3103,2,0.28072645413413166,2.132439557705465,4.976592490403072,11.807416413373812,0.0,1.0,3.8947202603361477,10.760246153846115,-1.0,0.0,2.3656875005148743,0.06,0.2,0.37,0.16,0.47,0.79,2.9786
B. 1-9,Variant,pre_level_booster,pre_level_booster_2,items,34548,17692,11374,50104.0,34273,2.832,3,0.6880064040831322,2.0,4.038278626502563,9.593352713178243,0.0,1.0136956775157118,3.5158045316905095,9.0,-1.0,0.0,2.0,0.08,0.25,0.41,0.14,0.56,0.95,3.0133
B. 1-9,Variant,pre_level_booster,pre_level_booster_3,items,34548,11605,9059,20145.0,17421,1.7359,1,0.0,1.0,2.0,4.11607954545454,0.0,0.8732546892932078,1.990215349670205,5.0,-1.0,0.0,1.0,0.17,0.5,0.75,0.14,0.55,0.9,1.9231
B. 1-9,Variant,season_pass_multiplier_2x,SeasonPassMultiplier2x,minutes,34548,4892,0,60285.0,0,12.3232,,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.63,3.14,4.14,,,,
B. 1-9,Variant,season_pass_tokens,SeasonPassToken,items,34548,463,0,9292.0,0,20.0691,,0.0,0.0,0.0,10.072207792207783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,6.51,11.17,,,,
B. 1-9,Variant,season_pass_tokens,unknown,items,34548,4,0,198.0,0,49.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.61,100.0,100.0,,,,
B. 1-9,Variant,ul_pre_booster,UnlimitedBooster1,minutes,34548,7368,6924,150800.0,41595,20.4669,6,0.0,0.5214206769945486,10.485088810560514,70.0,0.0,0.0038150024326722223,4.848323929638235,15.293659259259208,0.0,0.0,9.28562572280618,0.35,1.61,2.45,0.56,2.04,2.87,6.0074
B. 1-9,Variant,ul_pre_booster,UnlimitedBooster2,minutes,34548,4281,4051,101215.0,26282,23.6428,6,0.0,0.0,10.0,60.0,0.0,0.0,1.6337995890627486,13.507172649572569,0.0,0.0,6.189039104842791,0.48,2.23,3.42,0.89,3.15,4.43,6.4878
B. 1-9,Variant,ul_pre_booster,UnlimitedBooster3,minutes,34548,965,941,30620.0,9902,31.7306,10,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.600410256410191,0.0,0.0,0.0,1.57,6.83,10.29,2.46,8.08,11.17,10.5228
B. 1-9,Variant,unlimited_lives,UnlimitedLives,minutes,34548,22652,18,4377974.0,53,193.271,2,38.20741776297888,161.77192837371575,382.39915760486355,927.6703416149053,0.0,0.0,0.0,0.0,0.0,38.19594773829539,382.4627599933404,0.04,0.17,0.33,13.21,60.38,84.91,2.9444
C. 10-19,Control,Avatar,Avatar,items,24326,9930,0,14594.0,0,1.4697,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.43,0.62,0.79,,,,
C. 10-19,Control,currency,HardCoin,coins,24326,23658,14394,5244443.0,4860650,221.6774,337,116.35630355559245,276.54412797870634,550.6891323987116,1161.6157094561984,100.0,299.583792513117,571.5746679866264,1212.3694581280802,-140.06329122966636,33.206628772118144,160.30479892479894,0.16,0.66,0.97,0.53,1.19,1.75,3.4232
C. 10-19,Control,dream_pass_tokens,DreamPassToken,items,24326,8884,0,635120.33,0,71.4904,,0.0,40.27660013409667,89.5615268592644,200.71349925037526,0.0,0.0,0.0,0.0,0.0,0.0,89.5615268592644,0.14,0.58,1.02,,,,
C. 10-19,Control,life,life,items,24326,1962,20446,13231.0,464675,6.7436,22,0.0,0.0,0.0,14.011530296329125,11.223373583438118,20.108034689644256,44.48402061115818,153.8444466338263,-43.14543777012626,-11.172110732944878,0.0,0.8,3.33,5.63,0.12,0.49,0.89,22.7269
C. 10-19,Control,life,liferefill,items,24326,1227,0,15260.0,0,12.4368,,0.0,0.0,0.0,16.215745079662653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,4.62,7.73,,,,
C. 10-19,Control,orb,Movie_Magic,items,24326,4,0,4.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,100.0,,,,
C. 10-19,Control,orb,Ocean_rescue,items,24326,1,0,1.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,,,
C. 10-19,Control,orb,Reds_Greatest_Challenge,items,24326,961,0,969.0,0,1.0083,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.03,1.86,,,,
C. 10-19,Control,powerup,powerup_1,items,24326,10004,9351,20972.0,21683,2.0964,2,0.0,1.033506291478809,3.0,6.0,0.0,1.0410970911593838,3.0,6.391699507389199,-1.0,0.0,1.0,0.24,0.58,0.84,0.58,1.35,1.81,2.3188
C. 10-19,Control,powerup,powerup_2,items,24326,14870,11718,51683.0,47060,3.4757,4,1.0,3.0,6.0,12.753509286412537,0.1772762389491979,3.0,6.061827198557323,13.042716627634665,-1.7761952931023506,0.0,2.0,0.06,0.26,0.47,0.07,0.31,0.56,4.016
C. 10-19,Control,powerup,powerup_3,items,24326,13866,12134,46793.0,44493,3.3747,3,1.0,3.0,5.741416566626652,11.950687500000015,0.517016440403537,2.729308165150865,5.734270414993311,12.0,-1.8251532107647206,0.0,2.0,0.1,0.35,0.56,0.48,1.5,2.14,3.6668
C. 10-19,Control,pre_level_booster,pre_level_booster_1,items,24326,20834,15050,64441.0,50208,3.0931,3,1.8423664547786331,3.886397548350737,6.433376448156288,11.57481481481486,1.0,2.9959124700886486,5.9058440409189075,13.164926108374399,-2.0,0.0468725485505223,3.224028152740283,0.21,0.45,0.7,0.19,0.75,1.2,3.3361
C. 10-19,Control,pre_level_booster,pre_level_booster_2,items,24326,21037,12367,78799.0,53302,3.7457,4,2.706529445397367,4.215480626013783,7.235294868196086,13.170085348506413,0.554543464285304,3.0227806202472767,6.799313742143709,14.802712643678186,-1.7834652398941362,1.0,4.0,0.24,0.51,0.69,0.19,0.65,1.07,4.31
C. 10-19,Control,pre_level_booster,pre_level_booster_3,items,24326,14222,10403,34433.0,28174,2.4211,2,1.0,2.0,3.5940728476821215,7.713846153846187,0.0,1.7741386217948718,3.858613670452114,8.0618472906404,-1.0,0.0,2.0,0.55,1.3,1.77,0.36,0.91,1.33,2.7083
C. 10-19,Control,season_pass_multiplier_2x,SeasonPassMultiplier2x,minutes,24326,452,0,13290.0,0,29.4027,,0.0,0.0,0.0,10.227751196172278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,13.69,27.24,,,,
C. 10-19,Control,season_pass_tokens,SeasonPassToken,items,24326,152,0,7437.0,0,48.9276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,15.81,29.16,,,,
C. 10-19,Control,ul_pre_booster,UnlimitedBooster1,minutes,24326,9714,9358,223705.0,86916,23.0291,9,0.0,10.0,25.0,83.0112721417071,0.0,5.564236318320638,10.838292165350994,31.788878489326855,0.0,0.0,15.791053665910807,0.2,0.95,1.84,0.4,1.09,1.58,9.2879
C. 10-19,Control,ul_pre_booster,UnlimitedBooster2,minutes,24326,7700,7425,173835.0,67913,22.576,9,0.0,10.0,20.0,74.19185520362012,0.0,3.5814295476472267,8.989744782567113,30.124996715927814,0.0,0.0,12.47938133747828,0.26,1.24,2.37,0.51,1.4,2.08,9.1465
C. 10-19,Control,ul_pre_booster,UnlimitedBooster3,minutes,24326,2245,2188,61565.0,26839,27.4232,12,0.0,0.0,1.8500547862600565,40.0,0.0,0.0,0.18852971267058707,22.26382758620696,0.0,0.0,0.037313069908814944,0.74,3.33,6.42,1.23,3.17,4.58,12.2665
C. 10-19,Control,unlimited_lives,UnlimitedLives,minutes,24326,19702,3,4652573.0,16,236.1472,5,121.53845347892603,268.226268415542,496.56695849992326,984.1515643222971,0.0,0.0,0.0,0.0,0.0,121.53845347892603,496.56695849992326,0.04,0.18,0.34,62.5,100.0,100.0,5.3333
C. 10-19,Variant,Avatar,Avatar,items,24664,9842,0,14346.0,0,1.4576,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.34,0.52,,,,
